UID,Link to Workout Media,Duration,Source,Category,SubCategory,Name,Equipment Needed,Trainer,Fitness Level
09f53088-6619-4e2d-9af3-5a79203d2c07,https://www.youtube.com/watch?v=ufFd9glk53I,30,YouTube,Cardio,HIIT,"30-Minute Full Body HIIT Workout 🔥 No Repeats, No Rest, No Equipment | Ultimate Bodyweight Routine",none,Preston Conners,advanced
d1d61f6e-00e7-4cdf-8d39-29be421f465f,https://www.youtube.com/watch?v=RmoTNYaZFp4,20,YouTube,Flexibility,Stretching,20 Minute Full Body Stretch | Deep Stretch for Total Body,none,Re:Align Pilates,"beginner, intermediate, advanced"
c3813c8b-dee8-4a55-b3c4-4d5f28ae30e3,https://www.youtube.com/watch?v=nuIWMFOotko,5,YouTube,Flexibility,Yoga,Salamander Yoga! | 5-minute Yoga Break,mat,Salamander Yoga,beginner
0e8d709f-6af3-4d51-98f7-2e889529fde6,https://www.youtube.com/watch?v=F0sXBKtGIws,5,YouTube,Flexibility,Yoga,5 min Yoga Break: Reset & Find Calm,mat,Sarah Beth Yoga,beginner
8a60c890-a6bd-4620-95a6-d7022c306434,https://www.youtube.com/watch?v=Yir4WyDi8rU,20,YouTube,Cardio,Running,Running Mix 2020 | 135 - 160 BPM,none,Spinnin' Records,"beginner, intermediate, advanced"
b11c644b-57de-48c2-a9c0-49160660a10f,https://www.tiktok.com/@squatuniversity/video/7311460429824363819?lang=en,5,TikTok,Flexibility,Stretching,The World's Greatest Stretch,mat,Squat University,advanced
86a55bb3-5c92-4b65-8bbf-f00f226ff29b,https://www.silversneakers.com/blog/stretching-for-seniors-7-simple-moves-for-the-not-so-flexible/,20,SilverSneakers,Flexibility,Stretching,Stretching for seniors,mat,Stretching for Seniors,"beginner, intermediate, advanced"
03d4bfd8-7a5a-4049-ad0b-ada44ca54aca,https://www.youtube.com/watch?v=4dSEvdsDpHE,20,YouTube,Strength,Weight workout,Follow Along 20 Minute Beginner Calisthenics Home Workout,mat,Summerfunfitness,beginner
aacdc7d6-97d7-45dd-bd7d-47b5dedee289,https://www.youtube.com/watch?v=zuKfQdO0Ios,20,YouTube,Cardio,Running,20 Minute Guided Run | BEGINNER FRIENDLY,none,Taylor Christine Hall,beginner
5de2b8c5-de95-47ef-97f4-8b5cc0e92ee0,https://www.youtube.com/watch?v=ByGi92AC95M,20,YouTube,Cardio,HIIT,20 Minute FULL BODY HIIT Workout | The Body Coach TV,mat,The Body Coach TV by Joe Wicks,"beginner, intermediate, advanced"
760d2218-88b1-42df-962a-c5a4e4fe2e20,https://www.youtube.com/watch?v=KxKJEIqS1HQ,20,YouTube,Cardio,Running,20-Minute Interval Run Workout,none,The Run Experience,"beginner, intermediate, advanced"
20d040f9-4b8a-4e5e-be8a-4e1ee4a95964,https://www.youtube.com/watch?v=wppLAEXbtOs,20,YouTube,Cardio,HIIT,"20 Min HIIT Full Body Workout At Home | No Repeats, No Equipment | Burn Fat + Calories!!!",mat,Tiff x Dan,"beginner, intermediate, advanced"
a77d42bd-4d2b-45d5-b47c-aede1fd119a1,https://www.youtube.com/watch?v=jIpRlynVMBo,20,YouTube,Strength,Body weight,20 Minute Full Body Dumbbell Workout NO REPEAT (Strength & Endurance) + Cool Down,"mat, dumbbells",Tiff x Dan,"beginner, intermediate, advanced"
945ad651-4532-4e97-a120-4e7ad82381fb,https://www.youtube.com/watch?v=K5NuZmyGHxs,20,YouTube,Strength,Body weight,45 Min ULTIMATE FULL BODY Dumbbell HIIT Workout // 6WS1,dumbbells,Tiff x Dan,advanced
4d717147-5d9b-40fb-bcea-dcee21e41a11,https://www.youtube.com/watch?v=Yu20j5jGHTc,20,YouTube,Strength,Body weight,20 Minute Full Body Workout (No Equipment),mat,Tiff x Dan,"beginner, intermediate, advanced"
55bce5c3-22ca-42e6-8cca-0389d4746a08,https://www.youtube.com/watch?v=SNNKQlkoPqQ,20,YouTube,Flexibility,Stretching,20 Minute Beginner Flexibility Routine V2! (FOLLOW ALONG),mat,Tom Merrick,beginner
75cea77a-04e5-4acb-8a39-1b5e17ffc840,https://www.youtube.com/watch?v=sF_ICnyxXnw,20,YouTube,Strength,Body weight,20 Min INTERMEDIATE CALISTHENICS WORKOUT at Home | No Equipment,mat,Tom Petro Training,intermediate
844d6131-cfc3-4685-a2a6-fa78f4b770ea,https://www.dvidshub.net/video/825282/20m-high-aerobic-multi-shuttle-run,20,DVIDSHub,Cardio,Running,High Aerobic Multi-Shuttle Run,none,US Army Beep Test,"beginner, intermediate, advanced"
d352ad39-fd56-4635-9c8c-3812d7cd7d1f,https://www.youtube.com/watch?v=axv3YmV_Ymg,20,YouTube,Strength,Body weight,20 Min Calisthenics Workout | No Equipment | All Levels,mat,Vitality,"beginner, intermediate, advanced"
dabb70a9-9c25-4296-9bd8-25dd8e01f54b,https://www.youtube.com/watch?v=NeiNjOa7Xok,20,YouTube,Flexibility,Stretching,20 Minute Full Body Stretch Routine | Good Moves | Well+Good,mat,Well+Good,"beginner, intermediate, advanced"
0f94b1cf-356d-441a-be73-c99493c271a9,https://www.youtube.com/watch?v=b1H3xO3x_Js,20,YouTube,Flexibility,Yoga,Full Body Flow | 20-Minute Yoga Practice,mat,Yoga with Adrienne,beginner
58af6c83-e6fa-4406-8562-0b41cc043c48,https://www.youtube.com/watch?v=HnEqUkVNmPU,5,YouTube,Flexibility,Yoga,Day 5 - Deepen | MOVE,mat,Yoga with Adrienne,beginner
ea9701a8-4bbe-477f-8ed9-57399ba956e0,https://www.youtube.com/watch?v=4C-gxOE0j7s,5,YouTube,Flexibility,Yoga,5-Minute Morning Yoga,mat,Yoga with Adrienne,beginner
73a63de6-7cc1-46d4-8841-b93336b05c84,https://www.youtube.com/watch?v=w7GSmtiDUJ4,20,YouTube,Flexibility,Yoga,Flow - Day 20 - Inward,mat,Yoga with Adrienne,beginner
edfffda8-ea0a-4f90-acfc-305112c6f24c,https://www.youtube.com/watch?v=p39GdEUxxAk,5,YouTube,Flexibility,Yoga,5 Minute Yoga for Back Tension,mat,Yoga with Bird,beginner
e004a5de-4914-4c10-a55b-312b371d3483,https://www.youtube.com/watch?v=gH1Wx6byvUo,5,YouTube,Flexibility,Yoga,5 min Morning Yoga Stretches in Bed,mat,Yoga with Kassandra,beginner
b57f7aa1-0990-4825-b060-82b514ba0e84,https://www.youtube.com/watch?v=hu_-_6VwaS8,5,YouTube,Flexibility,Yoga,5 min Yoga for Good Posture (TOP 5 POSES),mat,Yoga with Kassandra,beginner
d01cd137-934c-459d-a87e-89e6d28aedb8,https://www.youtube.com/watch?v=lBYbeDx-jiw,5,YouTube,Flexibility,Yoga,5 Minute Morning Yoga - Daily Stretching Routine,mat,Yoga with Kassandra,beginner
2cac54b8-c330-49fb-8a58-c9017fd76e8f,https://www.youtube.com/watch?v=uC2Q6KynZi8,20,YouTube,Flexibility,Yoga,20 min Beginner Flow for Strength & Flexibility,mat,Yoga with Kassandra,beginner
1643b3bc-72f0-43c2-a5d5-1b4766c46f46,https://music.apple.com/kz/playlist/runners-high/pl.5a4bf230c2e849ffa65605c6e8067bea,20,AppleMusic,Cardio,Running,Runners High,none,n/a,"beginner, intermediate, advanced"
69b2a6c0-5a01-4bff-9a7f-60161642bd39,https://www.youtube.com/watch?v=ZToicYcHIOU,10,YouTube,Rest,Rest,Daily Calm | 10 Minute Mindfulness Meditation | Be Present,mat,Calm,beginner
bbda2a56-8b85-41b6-95ec-5204ef8f3a17,https://www.youtube.com/watch?v=Affh1xGriY8,11,YouTube,Rest,Rest,"Meditation for Inner Peace 7 | Relaxing Music for Meditation, Yoga, Studying | Fall Asleep Fast",mat,Calm,beginner
ca6d033e-3102-4f0a-a72e-7229ce76b79e,https://www.youtube.com/watch?v=C9hMaqQFKXk,3,YouTube,Rest,Rest,Inner Balance | 432Hz + 111Hz Healing Calm & Inner Peace | Release All Blockages Meditation & Sleep,mat,Inner Lotus Music ,beginner
b680b5d4-e718-449b-8579-356ff6ef13db,https://www.youtube.com/watch?v=cyMxWXlX9sU,10,YouTube,Rest,Rest,"10 Minute Guided Meditation for Positive Energy, Peace & Light",mat,Inner Lotus Music ,beginner
869df69e-2430-477f-8f7e-fd24d1f9cc6c,https://www.youtube.com/watch?v=-Tb1lR8Z5oM,11,YouTube,Rest,Rest,"Guided Meditation For Powerful Positivity ➤ Peace, Focus, & A Positive Mind In 10 Minutes",mat,Boho Beautiful Yoga,beginner
788797cc-d89e-4a64-bfee-2b7f0a1771c1,https://open.spotify.com/playlist/66nMljqYlBWvVJzj1NYXV7,505,Spotify,Cardio,Walking,Walking Music 2025,none,MusicUp,"beginner, intermediate, advanced"
e72c64e5-f220-4451-80c7-8188790578cb,https://open.spotify.com/playlist/6rHIFCVwZ0RuX81u4Gm8bb?go=1&sp_cid=e97dcffbf94b3a516f65bc073c0a2612&t=7&utm_source=embed_player_p&utm_medium=desktop&nd=1&dlsi=c136c59dbb9d4f0f,120,Spotify,Cardio,Walking,Best Walking Songs,none,Kuru Footwear,"beginner, intermediate, advanced"
8d54af88-ed1d-4162-8149-49f4c33e6a60,https://www.youtube.com/playlist?list=PL0xrKgn38sHIQ0LLzBO9U0czRB1FnaBSw,120,Youtube,Cardio,Walking,Walking music playlist,none,ThreeBikeMike,"beginner, intermediate, advanced"
d5bec92c-02f7-4092-a3c0-f9936f4abf12,https://open.spotify.com/album/1WbuEXf7l0alZKHXW4a5jw,90,Spotify,Cardio,Walking,Walking Exercise Music ,none,Walking Music Personal Trainer,"beginner, intermediate, advanced"
8d5c8ac6-05ca-4c87-9d10-de65b7f8bf51,https://www.podrunner.com/,90,Podrunner,Cardio,Walking,182 BPM - “ENERGY WEAPON”,none,Podrunner ,"beginner, intermediate, advanced"
9de9f464-eb52-4eca-922a-2b9656b6e6e2,https://www.youtube.com/watch?v=eNyVyngn0l8,30,YouTube,Cardio,Indoor Biking ,The Full Pyramid | 30 Minute HIIT Indoor Cycling Workout,Exercise bike,GNC Training,"beginner, intermediate, advanced"
b14f9a36-b9c6-48da-8307-2a29f3718708,https://www.youtube.com/watch?v=hb8sJOC5aEQ,20,YouTube,Cardio,Indoor Biking ,20 minutes of FAT BURNING FUN! | Intense Indoor Cycling Workout,Exercise bike,Kaleigh Cohen Cycling ,"beginner, intermediate, advanced"
78056ebb-006d-4214-8d6b-0f00ad046b3a,https://www.youtube.com/watch?v=wPOcEj5x59w,30,YouTube,Cardio,Indoor Biking ,Intense VO2 Cycling Efforts! | 30 Minute Indoor Cycling Workout,Exercise bike,GNC Training,"intermediate, advanced"
88a60aa1-088b-4c57-b5ca-796a3b9735fd,https://www.youtube.com/watch?v=ETEUzBDJNS8,20,YouTube,Cardio,Indoor Biking ,FAT BURNING Beginner Stationary Bike Workout | 20 Minute,Exercise bike,Kaleigh Cohen Cycling ,beginner 
e77142d4-c749-4a53-8f22-a31ce7bd263b,https://www.youtube.com/watch?v=UNqAsbupP6o,45,YouTube,Cardio,Indoor Biking ,Free 45 Minute Spin Class | Burn up to 600 Calories with Tabata Drills & Power Surges,Exercise bike,Studio SWEAT Ondemand,"intermediate, advanced"
35cc5148-7411-4f0e-85e3-ea14f496de0d,https://www.youtube.com/watch?v=eGZ_3MbXAnM,20,YouTube,Cardio,Treadmill,20-Minute Treadmill Workout for Weight Loss - [Quick & Effective HIIT🔥],Treadmill,Abundant you with Dr Kevin ,"beginner, intermediate"
9099b3c7-1217-4afd-8bf1-8cc28023f110,https://www.youtube.com/watch?v=stupaVSpKN8&list=PLteS2tgSPWshE1vNUa_o8QYR_NQZfsSw4,45,YouTube,Cardio,Treadmill,5000+ Steps! POWER STEP WALK WORKOUT,Treadmill,IBX Running,"beginner, intermediate"
a783e4a0-f72d-4662-80b2-45be80591f7a,https://www.youtube.com/watch?v=pXiTsyvToAc&list=PLteS2tgSPWshE1vNUa_o8QYR_NQZfsSw4&index=2,45,YouTube,Cardio,Treadmill,45 MIN HIIT RUN | Treadmill Follow Along!,Treadmill,IBX Running,"beginner, intermediate, advanced"
7df07a28-0a2a-42d8-8cc5-5b56711889c0,https://www.youtube.com/watch?v=PwKT4hUJSQc,30,YouTube,Cardio,Treadmill,Heart Health Month Series: Treadmill Walk - Easy to Follow Along | 30 Minutes,Treadmill,Sunny Health and Fitness,"beginner, intermediate, advanced"
322f6849-c39e-446b-89b4-88a842ca76a6,https://www.youtube.com/watch?v=ufhM_9eLU-s,20,YouTube,Cardio,Treadmill,Beginner Interval Treadmill Workout | 20 Minutes,Treadmill,Sunny Health and Fitness,beginner
209d16e3-961c-4ed5-aeda-67408273c758,https://www.youtube.com/watch?v=9mhcHHUxMuQ,30,YouTube,Cardio,Elliptical,30 Minute Heart Pumping Elliptical HIIT Workout,Elliptical,Sunny Health and Fitness,"beginner, intermediate, advanced"
988cd869-ed69-477a-9c07-e64de61d9dab,https://www.youtube.com/watch?app=desktop&v=F0oRyJCEzfA&t=539s,10,YouTube,Cardio,Elliptical,10 Min All-Out Elliptical HIIT Workout,Elliptical,Sunny Health and Fitness,"beginner, intermediate, advanced"
e14bc048-73a7-46a0-9fcf-6628d27b5bdd,https://www.youtube.com/watch?v=t9KVWTROVb0,10,YouTube,Cardio,Elliptical,Beginner Elliptical Workout - PYRAMID LEVELS | 10 Minutes,Elliptical,Sunny Health and Fitness,beginner
4cb37345-1341-4d95-a71c-23ddf642e0c5,https://www.youtube.com/watch?v=jyCnZALYl5Y&list=PLXE1cRBbuntIqv2IT4xktdO-DYP2hoR07&index=1,30,YouTube,Cardio,Elliptical,30 min Fat-Burning Zone Elliptical Workouts- Intermediate,Elliptical,muuv,"beginner, intermediate, advanced"
c1afef3a-4f7c-4d92-8038-9597067a8657,https://www.youtube.com/watch?v=1esP3Zng8LQ&list=PL5qWKDYV54nGTA04wnMmZ2VvhOQFGUrC-&index=3,30,YouTube,Cardio,Elliptical,32 Min. Elliptical Workout. Burns 747 Calories. Serious Weight Loss,Elliptical,Adrian Bryant,"beginner, intermediate, advanced"
